https://github.com/mn3817/project-images/blob/main/1940annoucementof370Jay.png,what does the text in this article say?,what do we learn about the history of the building?,what is the event being described?,
https://raw.githubusercontent.com/mn3817/project-images/refs/heads/main/370JayPre-NYURestoration.jpg,where is this building in NYC?,what does this building look like?,what did the building look like pre-restoration?,
https://raw.githubusercontent.com/mn3817/project-images/refs/heads/main/370%20post-NYU%20restoration%20render.jpg,where is this building in NYC?,what does this building look like?,what did the building look like post-restoration?,
https://github.com/mn3817/project-images/blob/main/AnnouncementOfTransitHubRelocation1939.png,what does the text in this article say?,what is the significance of the subway board?,,
https://raw.githubusercontent.com/mn3817/project-images/refs/heads/main/DataProcessingRooms1957.png,what is the photo about?,what do we learn about the data processing room from it?,what was this data processing room used for?,What was the cultural and historical significance of this data processing room?
https://raw.githubusercontent.com/mn3817/project-images/refs/heads/main/MayorO'DwyerCallsTransitUnification.png,what does the text in this article say?,,,
https://raw.githubusercontent.com/mn3817/project-images/refs/heads/main/MoneyCountingRoom.png,what is the significance of the money room?,where is the money room located in the 370 JayStreet building?,what is the cultural and historical significance of the money room?,
https://raw.githubusercontent.com/mn3817/project-images/refs/heads/main/MoneyTrain.png,what was the money train used for?,what is the cultural and historical significance of the money room?,,
https://raw.githubusercontent.com/mn3817/project-images/refs/heads/main/ProposedRenderingof370Jay1949.png,what do we know about the proposed rendering of 370 Jay Street?,,,
https://raw.githubusercontent.com/mn3817/project-images/refs/heads/main/Time%20CapsuleOpening.png,when was the time capsule buried at 370 Jay Street?,When was the time capsule opened at 370 Jay Street? ,What do we know about the tiem capsule at 370 JayStreet?,
https://raw.githubusercontent.com/mn3817/project-images/refs/heads/main/elevator.JPG,where was the elevator located?,what was the elevator in the building used for?,,
